Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-3.463,-98.213,-92.702,-
Acquisitions net,-,-,-500,-102.865,-
Sales/Maturities of investments,-,51.847,-,-,-
Other investing activites,-,-,-20,-,250
Net cash used for investing activites,-,48.384,-618.213,-195.567,250
Common stock issued,3233,68.905,1808,3305,761
Common stock repurchased,-134.031,-21.896,-75.538,-190.907,-96.865
Net cash used privided by (used for) financing activities,3099,47.009,1733,3114,664.135
Net change in cash,2473,-1024,-736.021,1242,-903.355
Cash at beginning of period,407.517,1145,1881,638.901,1542
Cash at end of period,2880,120.981,1145,1881,638.901
Capital Expenditure,-,-3.463,-98.213,-92.702,-
Free Cash Flow,-952.743,-1123,-1949,-1769,-1817
