Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5998000,5905000,5575000,5053000
Depreciation & amortization,-,5002000,4944000,4716000
Change in working capital,-,852000,-307000,1875000
Other working capital,-,10430000,7517000,9316000
Other non-cash items,-,7000,119000,78000
Net cash provided by operating activites,-,12568000,11673000,11764000
Investments in property plant and equipment,-,-2138000,-4156000,-2448000
Acquisitions net,-,-95000,-468000,-100000
Purchases of investments,-,-1136000,-748000,-594000
Sales/Maturities of investments,-,994000,601000,684000
Other investing activites,-,-21000,202000,316000
Net cash used for investing activites,-,-1692000,-4475000,-1887000
Net change in cash,-,5308000,103000,4238000
Cash at beginning of period,-,9012000,8909000,4671000
Cash at end of period,-,14320000,9012000,8909000
Operating Cash Flow,-,12568000,11673000,11764000
Capital Expenditure,-,-2138000,-4156000,-2448000
Free Cash Flow,-,10430000,7517000,9316000
