Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1121788,974079,902265,795543
Liabilities,,,,
Total Liabilities,890855,848495,786488,686394
Stockholders' Equity,,,,
Common Stock,195,0,0,0
Retained Earnings,94159,83351,74047,66229
Accumulated other comprehensive income,458,-255,589,2622
Total stockholders' equity,230933,125584,115777,109149
Total liabilities and stockholders' equity,1121788,974079,902265,795543
