Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-9900,-9427,-10046,-9703,-12294
Acquisitions net,-,-,-,-294,-495
Purchases of investments,-,-,-,-6274,-35066
Sales/Maturities of investments,-,-,-,2551,-
Net cash used for investing activites,-9646,-9427,14850,-13720,-47354
Debt repayment,-,-12,-23010,-20509,-6000
Dividends Paid,-,-,-,-,-2404
Net cash used privided by (used for) financing activities,-677,-12,-9510,-2009,9096
Net change in cash,2186,2737,19352,-994,-26605
Cash at beginning of period,10070,23014,3287,4281,30886
Cash at end of period,12256,25766,23014,3287,4281
Capital Expenditure,-9900,-9427,-10046,-9703,-12294
Free Cash Flow,2609,2749,3966,5032,-641
