Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-5524,-5524,-6868,-6895,-28702
Net cash used for investing activites,-5428,-5428,-6859,-6894,-28091
Debt repayment,-430,-430,-12000,-300,-18354
Common stock issued,-,-,-,5635,-
Common stock repurchased,-,-,-,-276,-30
Dividends Paid,-8784,-8784,-,-,-
Other financing activites,-223,-223,-461,-271,13988
Net cash used privided by (used for) financing activities,-9509,-9509,-9111,4781,2901
Net change in cash,6878,6878,1980,-1471,-4158
Cash at beginning of period,2451,2451,471,1942,6100
Cash at end of period,9329,9329,2451,471,1942
Capital Expenditure,-5524,-5524,-6868,-6895,-28702
Free Cash Flow,16291,16291,11082,-6253,-7670
