Breakdown,ttm,3/31/2018,3/31/2017
Total Revenue,39070,47241,65826
Total Operating Expenses,27614,30523,30523
Operating Income or Loss,11456,16718,35303
Interest Expense,14946,16212,29625
Income Before Tax,39426,25667,36691
Income Tax Expense,5057,4965,2585
Income from Continuing Operations,34369,20702,34106
Net Income,34369,20702,34106
Net Income available to common shareholders,34369,20702,34106
Basic EPS,-,0.02,0.03
Diluted EPS,-,0.02,0.03
Basic Average Shares,-,1088148,1000979
Diluted Average Shares,-,1092569,1086343
