Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3016000,3700000,5296000,2440000
Depreciation & amortization,-,3575000,3186000,1207000
Change in working capital,-,-885000,-2646000,-1170000
Inventory,-,-374000,-1193000,-497000
Other working capital,-,2230000,2896000,192000
Other non-cash items,-,676000,456000,345000
Net cash provided by operating activites,-,6119000,4926000,2644000
Investments in property plant and equipment,-,-3889000,-2030000,-2452000
Acquisitions net,-,-465000,-76000,-21078000
Purchases of investments,-,-118000,-228000,-222000
Sales/Maturities of investments,-,92000,1214000,220000
Other investing activites,-,-12000,-76000,67000
Net cash used for investing activites,-,-2665000,-858000,-21190000
Net change in cash,-,527000,463000,1134000
Cash at beginning of period,-,12341000,11877000,10742000
Cash at end of period,-,12868000,12341000,11877000
Operating Cash Flow,-,6119000,4926000,2644000
Capital Expenditure,-,-3889000,-2030000,-2452000
Free Cash Flow,-,2230000,2896000,192000
