Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3025000,4602000,7377000,7355000
Depreciation & amortization,-,8229000,8459000,8032000
Change in working capital,-,-4264000,1814000,1116000
Inventory,-,432000,897000,930000
Other working capital,-,4825000,14135000,7591000
Other non-cash items,-,2693000,1582000,1729000
Net cash provided by operating activites,-,13066000,21703000,18628000
Investments in property plant and equipment,-,-8241000,-7568000,-11037000
Sales/Maturities of investments,-,-,-,2079000
Other investing activites,-,-911000,-1287000,-1624000
Net cash used for investing activites,-,-9152000,-8855000,-10582000
Net change in cash,-,-5617000,3567000,1047000
Cash at beginning of period,-,32175000,28608000,27560000
Cash at end of period,-,26558000,32175000,28608000
Operating Cash Flow,-,13066000,21703000,18628000
Capital Expenditure,-,-8241000,-7568000,-11037000
Free Cash Flow,-,4825000,14135000,7591000
