Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1587668,1660742,1855062,1845993
Depreciation & amortization,-,2383585,2188070,2201299
Change in working capital,-,-248487,-984638,-820009
Inventory,-,-316913,-386672,-99281
Other working capital,-,2053260,-421789,827688
Other non-cash items,-,190727,45110,529726
Net cash provided by operating activites,-,3485305,3011788,3998105
Investments in property plant and equipment,-,-1432045,-3433577,-3170417
Acquisitions net,-,-21000,-,-
Purchases of investments,-,-129167,-147124,-436114
Sales/Maturities of investments,-,665592,32505,53931
Other investing activites,-,98179,112871,26925
Net cash used for investing activites,-,-877043,-3405576,-3510902
Net change in cash,-,2839795,-1037478,-686194
Cash at beginning of period,-,2829603,3867081,4553276
Cash at end of period,-,5669398,2829603,3867081
Operating Cash Flow,-,3485305,3011788,3998105
Capital Expenditure,-,-1432045,-3433577,-3170417
Free Cash Flow,-,2053260,-421789,827688
