Breakdown,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Assets,350741,333724,324078,288060
Liabilities,,,,
Total Liabilities,5024,1050,3347,858
Stockholders' Equity,,,,
Common Stock,15120,14984,14984,14944
Total stockholders' equity,345717,332674,320731,287202
Total liabilities and stockholders' equity,350741,333724,324078,288060
