Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,21417100,10460200,8589100,6580900
Liabilities,,,,
Total Liabilities,19940100,9779500,8010300,6162500
Stockholders' Equity,,,,
Common Stock,4500,2400,2400,2400
Retained Earnings,553200,439600,337500,240700
Total stockholders' equity,1477000,680700,578800,418400
Total liabilities and stockholders' equity,21417100,10460200,8589100,6580900
