Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-,-825,-1043,-1833
Net cash used for investing activites,-,-,-825,-1043,-1833
Debt repayment,-,-,-2945,-,-
Common stock issued,-,-,10687,4663,2150
Common stock repurchased,-,-,-357,-1069,-63
Net cash used privided by (used for) financing activities,-,-,7385,13594,2087
Net change in cash,-,-,-180,2192,-13486
Cash at beginning of period,-,-,6789,4915,18361
Cash at end of period,-,-,6600,6789,4915
Capital Expenditure,-,-,-825,-1043,-1833
Free Cash Flow,-,-,-7565,-11402,-15573
