Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,2902811,1820150,2094475,1462906
Depreciation & amortization,-,621878,545013,495900
Change in working capital,-,-134244,-242647,-154580
Inventory,-,-262240,-11004,-395967
Other working capital,-,1379601,2386002,631740
Other non-cash items,-,78570,93269,-81794
Net cash provided by operating activites,-,2174397,2879430,1692543
Investments in property plant and equipment,-,-794796,-493428,-1060803
Acquisitions net,-,-,-813453,-
Purchases of investments,-,-251119,-26324,-56759
Sales/Maturities of investments,-,124127,66144,10511
Other investing activites,-,-25181,-13617,9374
Net cash used for investing activites,-,-940442,-1266592,-1089377
Net change in cash,-,524476,1263090,180127
Cash at beginning of period,-,6878272,5615182,5435054
Cash at end of period,-,7402749,6878272,5615182
Operating Cash Flow,-,2174397,2879430,1692543
Capital Expenditure,-,-794796,-493428,-1060803
Free Cash Flow,-,1379601,2386002,631740
