Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,63915,77013,78761,60322
Liabilities,,,,
Total Liabilities,1784,3333,5584,4922
Stockholders' Equity,,,,
Common Stock,64134,63840,63163,46678
Retained Earnings,-11657,-4150,-1365,-
Accumulated other comprehensive income,9655,13990,11379,8722
Total stockholders' equity,62131,73680,73177,55400
Total liabilities and stockholders' equity,63915,77013,78761,60322
