Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Total Revenue,5005,5005,6480,-3385
Interest Expense,-,-,-,6.484
Income Before Tax,3781,3781,5223,-4573
Income Tax Expense,1004,1004,1430,-1574
Income from Continuing Operations,2777,2777,3793,-2999
Net Income,2777,2777,3793,-2999
Net Income available to common shareholders,2777,2777,3793,-2999
Basic EPS,-,0.06,0.07,-0.06
Diluted EPS,-,0.06,0.07,-0.06
Basic Average Shares,-,45323,50653,52409
Diluted Average Shares,-,45323,50653,52409
