Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,809016,1113692,963363,1392470
Depreciation & amortization,-,956176,980292,1186864
Change in working capital,-,-537982,-643881,585203
Inventory,-,-215180,79044,233845
Other working capital,-,523247,461266,2536550
Other non-cash items,-,2485,36203,237158
Net cash provided by operating activites,-,1749910,1554782,3623577
Investments in property plant and equipment,-,-1226663,-1093516,-1087027
Purchases of investments,-,-22522,-21799,-21381
Sales/Maturities of investments,-,11000,-,-
Other investing activites,-,-268175,-91011,-353093
Net cash used for investing activites,-,-1504067,-1186192,-1145041
Net change in cash,-,-228502,208813,1012389
Cash at beginning of period,-,9522090,9313277,8300887
Cash at end of period,-,9293587,9522090,9313277
Operating Cash Flow,-,1749910,1554782,3623577
Capital Expenditure,-,-1226663,-1093516,-1087027
Free Cash Flow,-,523247,461266,2536550
