Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1378779,1521027,1397045,1242670
Liabilities,,,,
Total Liabilities,1206750,1368743,1256059,1111382
Stockholders' Equity,,,,
Common Stock,8028,8028,8028,8026
Retained Earnings,113111,98475,86385,77907
Accumulated other comprehensive income,1798,-2351,-627,-370
Total stockholders' equity,172029,152284,140986,131288
Total liabilities and stockholders' equity,1378779,1521027,1397045,1242670
