Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-,-1789
Sales/Maturities of investments,-,-,-,-,222
Other investing activites,4225,4225,-3104,3206,-
Net cash used for investing activites,4225,4225,-3104,3206,-570
Debt repayment,-,-,-4000,-12674,-3336
Common stock issued,-,-,-,473,-
Common stock repurchased,-,-,-,-14,-
Dividends Paid,-3134,-3134,-1567,-,-
Other financing activites,1678,1678,-,-,-
Net cash used privided by (used for) financing activities,-1456,-1456,-5567,-12215,-3336
Net change in cash,15090,15090,-379,-2609,7148
Cash at beginning of period,8318,8318,8697,11306,4158
Cash at end of period,23408,23408,8318,8697,11306
Capital Expenditure,-,-,-,-,-1789
Free Cash Flow,12321,12321,8292,6400,9265
