Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,312364,246271,238816,272404
Depreciation & amortization,-,260072,198880,123839
Change in working capital,-,302801,-28244,-175457
Inventory,-,-109935,-76645,103301
Other working capital,-,599879,184898,48602
Other non-cash items,-,40051,54187,62107
Net cash provided by operating activites,-,791494,452582,238537
Investments in property plant and equipment,-,-191615,-267684,-189935
Purchases of investments,-,-170,-472166,-18151
Other investing activites,-,14951,-11092,2777
Net cash used for investing activites,-,-176834,-750942,-205309
Net change in cash,-,1073216,-266610,2151257
Cash at beginning of period,-,2902724,3169334,1018077
Cash at end of period,-,3975940,2902724,3169334
Operating Cash Flow,-,791494,452582,238537
Capital Expenditure,-,-191615,-267684,-189935
Free Cash Flow,-,599879,184898,48602
