Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5081,-2820,-114.333,-15.371,-456.002
Acquisitions net,-,-,-,3140,-
Purchases of investments,-,-,-,-,-3263
Sales/Maturities of investments,-,-,-,3368,1229
Other investing activites,-,124.935,-,-,-3446
Net cash used for investing activites,-5081,-2695,-114.333,6493,-5936
Common stock issued,199.9,28027,87.533,-,1
Common stock repurchased,-85.537,-890.478,-3.676,-,-280.371
Net cash used privided by (used for) financing activities,-630.637,27136,83.857,-,-279.371
Net change in cash,-13802,16343,-7348,-3180,-6238
Cash at beginning of period,24456,1178,8529,11728,17966
Cash at end of period,10654,17521,1178,8529,11728
Capital Expenditure,-5081,-2820,-114.333,-15.371,-456.002
Free Cash Flow,-13172,-10919,-7432,-9688,-478.529
