Breakdown,ttm,6/30/2019
Total Revenue,4516950,4516950
Cost of Revenue,986369,986369
Gross Profit,3530580,3530580
Total Operating Expenses,6361251,6361251
Operating Income or Loss,-2830671,-2830671
Income Before Tax,-2769913,-2769913
Income Tax Expense,8527,8527
Income from Continuing Operations,-2778440,-2778440
Net Income,-2778440,-2778440
Net Income available to common shareholders,-2778440,-2778440
