Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1537295,1351576,1053224,909305
Liabilities,,,,
Total Liabilities,1358217,1193240,954941,829494
Stockholders' Equity,,,,
Common Stock,139,137,108.69,81.431
Retained Earnings,52470,36728,25859,17889
Accumulated other comprehensive income,690,-2411,-1694,-1299
Total stockholders' equity,179078,158336,98283,79811
Total liabilities and stockholders' equity,1537295,1351576,1053224,909305
