Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,1506628,1636239,1016755
Liabilities,,,
Total Liabilities,66606,82962,41952
Stockholders' Equity,,,
Common Stock,2196,2201,2209
Retained Earnings,880935,990979,409310
Total stockholders' equity,1440022,1553277,974803
Total liabilities and stockholders' equity,1506628,1636239,1016755
