Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-1.522,-1.686,-1.32
Sales/Maturities of investments,-,-,-,-20,3.78
Net cash used for investing activites,-,-,-1.522,-21.686,2.46
Debt repayment,-,-56.046,-37.425,-,-
Common stock issued,-,9122,38.628,1355,11011
Common stock repurchased,-,-699.488,-1.838,-134.5,-729.03
Net cash used privided by (used for) financing activities,-,8367,-0.635,1221,10282
Net change in cash,2422,4171,-2151,-2079,8726
Cash at beginning of period,3310,5486,7645,9754,1043
Cash at end of period,5732,9640,5486,7645,9754
Capital Expenditure,-,-,-1.522,-1.686,-1.32
Free Cash Flow,-2498,-4195,-2151,-3280,-1560
