Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4249,-4249,-2472,-16220,-12960
Net cash used for investing activites,-2914,-2914,962,-13467,-6654
Debt repayment,-25835,-25835,-10332,-9333,-23789
Common stock issued,-,-,-,-,1855
Common stock repurchased,-,-,-,-,-70
Dividends Paid,-4938,-4938,-3910,-4677,-5271
Other financing activites,-24191,-24191,-22099,-20017,-16718
Net cash used privided by (used for) financing activities,-29571,-29571,-30195,-11220,-28502
Net change in cash,2744,2744,-10321,15015,-5367
Cash at beginning of period,14716,14716,25037,10022,15389
Cash at end of period,17460,17460,14716,25037,10022
Capital Expenditure,-4249,-4249,-2472,-16220,-12960
Free Cash Flow,30980,30980,16440,23482,16829
