Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,257375,871954,252637,99102
Depreciation & amortization,-,746912,739101,738392
Change in working capital,-,-261015,-371314,-226859
Inventory,-,-373903,-232741,-281813
Other working capital,-,447487,-105258,443626
Other non-cash items,-,50698,65073,20229
Net cash provided by operating activites,-,1417928,556826,784670
Investments in property plant and equipment,-,-970441,-662084,-341044
Acquisitions net,-,-,-18746,-
Purchases of investments,-,-26342,-948,-1120
Sales/Maturities of investments,-,92093,202649,-
Other investing activites,-,-4498,11793,27946
Net cash used for investing activites,-,-921658,-362421,-312888
Net change in cash,-,95600,590983,-339565
Cash at beginning of period,-,2527497,1936513,2276079
Cash at end of period,-,2623097,2527497,1936513
Operating Cash Flow,-,1417928,556826,784670
Capital Expenditure,-,-970441,-662084,-341044
Free Cash Flow,-,447487,-105258,443626
