Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,221613000,194009000,139590000,102574000
Depreciation & amortization,-,9564000,9064000,8366000
Change in working capital,-,-51864000,-49493000,-17151000
Inventory,-,8484000,-107454000,-155000
Other working capital,-,159792000,142599000,8643000
Other non-cash items,-,17569000,22650000,9231000
Net cash provided by operating activites,-,170529000,152208000,19101000
Investments in property plant and equipment,-,-10737000,-9609000,-10458000
Purchases of investments,-,-866086000,-1087617000,-1218082000
Sales/Maturities of investments,-,922636000,1158144000,1305507000
Other investing activites,-,-460000,-3250000,-7993000
Net cash used for investing activites,-,45353000,61387000,69518000
Net change in cash,-,100897000,153506000,72878000
Cash at beginning of period,-,484480000,330974000,258095000
Cash at end of period,-,585378000,484480000,330974000
Operating Cash Flow,-,170529000,152208000,19101000
Capital Expenditure,-,-10737000,-9609000,-10458000
Free Cash Flow,-,159792000,142599000,8643000
