Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,16101000,22357000,16549000,8793000
Depreciation & amortization,-,90172000,83760000,85534000
Change in working capital,-,-12059000,-285000,-3976000
Other working capital,-,113808000,107054000,67081000
Other non-cash items,-,23010000,14686000,-7800000
Net cash provided by operating activites,-,113808000,107054000,67081000
Other investing activites,-,-124440000,-145219000,-143886000
Net cash used for investing activites,-,-126932000,-145355000,-145216000
Net change in cash,-,-44361000,28059000,-20777000
Cash at beginning of period,-,116087000,88027000,108805000
Cash at end of period,-,71725000,116087000,88027000
Operating Cash Flow,-,113808000,107054000,67081000
Free Cash Flow,-,113808000,107054000,67081000
