Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Net Income,269757,269757,155452,135568,150288
Change in working capital,-700,-700,-881,-1014,-951
Other working capital,26614,26614,21144,18051,15471
Net cash provided by operating activites,26614,26614,21144,18051,15471
Purchases of investments,-221806,-221806,-199082,-125470,-140760
Sales/Maturities of investments,11444,11444,87923,11205,11189
Net cash used for investing activites,-210362,-210362,-111159,-114265,-129571
Net change in cash,9329,9329,1902,-594,3827
Cash at beginning of period,13175,13175,11482,12198,8440
Cash at end of period,22379,22379,13175,11482,12198
Operating Cash Flow,26614,26614,21144,18051,15471
Free Cash Flow,26614,26614,21144,18051,15471
