Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-734.823,-647.1982,-610.1701,-510.0487
Acquisitions net,-,-3214,10346,-
Purchases of investments,-49.6512,-1082,-88.5126,-1575
Sales/Maturities of investments,-,-,-,2887
Other investing activites,1883,9336,-5706,-6363
Net cash used for investing activites,-2115,4392,2903,4338
Common stock issued,-,213.7188,-,-
Common stock repurchased,-89.7462,-142.3855,-,-268.3015
Dividends Paid,-,-,-1119,-2002
Other financing activites,-1248,302.1232,6345,-55.5315
Net cash used privided by (used for) financing activities,-1365,356.251,5226,-2326
Net change in cash,-7014,-1806,1548,-5779
Cash at beginning of period,19790,14694,12499,17535
Cash at end of period,12775,12888,14047,11756
Capital Expenditure,-734.823,-647.1982,-610.1701,-510.0487
Free Cash Flow,-4269,-7202,-7192,-8301
