Attribute,Value
Previous Close,100.04
Open,100.04
Bid,99.96 x 4000
Ask,100.04 x 4000
Day's Range,100.04 - 100.04
52 Week Range,99.96 - 100.04
Volume,0
Avg. Volume,0
Net Assets,7.27M
NAV,10.43
PE Ratio (TTM),
Yield,2.19%
YTD Daily Total Return,0.52%
Beta (5Y Monthly),1.01
Expense Ratio (net),0.35%
Inception Date,2016-03-30
