Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1797536,1689227,1405961,1334257
Liabilities,,,,
Total Liabilities,1616042,1534745,1296004,1229831
Stockholders' Equity,,,,
Common Stock,59,56,46,46
Retained Earnings,85059,72594,63648,58100
Accumulated other comprehensive income,1504,-1847,-1191,-928
Total stockholders' equity,181494,154482,109957,104426
Total liabilities and stockholders' equity,1797536,1689227,1405961,1334257
