Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4112,-4083,-1483,-2023,-1856
Sales/Maturities of investments,-,-,115.982,-,-
Net cash used for investing activites,-4083,-4063,-1361,-2023,-1855
Common stock issued,-,-,-,3977,5001
Common stock repurchased,-,-,-29.056,-48.07,-407.326
Net cash used privided by (used for) financing activities,3003,7540,-29.056,3929,4593
Net change in cash,-3174,862.277,-2844,-156.713,1883
Cash at beginning of period,3738,1090,3934,4091,2208
Cash at end of period,563.736,1952,1090,3934,4091
Capital Expenditure,-4112,-4083,-1483,-2023,-1856
Free Cash Flow,-6206,-6697,-2937,-4086,-2712
