Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,86884,86884,80387,64657,62441
Interest Expense,21032,21032,16591,10611,9247
Income Before Tax,26110,26110,21824,19108,17627
Income Tax Expense,2359,2359,2960,6793,4386
Income from Continuing Operations,23751,23751,18864,12315,13241
Net Income,23751,23751,18864,12315,13241
Net Income available to common shareholders,23751,23751,18864,12315,13241
Basic EPS,-,-,2.25,1.67,1.79
Diluted EPS,-,-,2.21,1.64,1.76
Basic Average Shares,-,-,8394,7360,7392
Diluted Average Shares,-,-,8544,7502,7539
