Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,315177,315177,126099,76084,47458
Interest Expense,93689,93689,30045,11044,5640
Income Before Tax,115860,115860,50237,28181,19018
Income Tax Expense,25121,25121,10896,13029,6467
Income from Continuing Operations,90739,90739,39341,15152,12551
Net Income,90739,90739,39341,15152,12551
Net Income available to common shareholders,90739,90739,39341,15110,12551
Basic EPS,-,-,1.63,0.82,1.16
Diluted EPS,-,-,1.60,0.80,1.13
Basic Average Shares,-,-,24169,18404,10849
Diluted Average Shares,-,-,24590,18810,11153
