Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,62140,62140,43066,38097,36783
Interest Expense,7726,7726,5102,4094,3118
Income Before Tax,13968,13968,5896,6231,6931
Income Tax Expense,3096,3096,914,2128,1799
Income from Continuing Operations,10872,10872,4982,4103,5132
Net Income,10872,10872,4982,4103,5132
Net Income available to common shareholders,10872,10872,4982,4103,5132
Basic EPS,-,-,0.92,1.01,1.36
Diluted EPS,-,-,0.91,0.99,1.32
Basic Average Shares,-,-,5427,4074,3785
Diluted Average Shares,-,-,5490,4133,3874
