Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-80.371,-52.266,-48.47,-120.922,-29.128
Net cash used for investing activites,-80.371,-52.266,-48.47,-120.922,-29.128
Common stock issued,-,913,3939,2387,5236
Common stock repurchased,-,-51.868,-182.183,-43.638,-439.475
Net cash used privided by (used for) financing activities,-,861.132,3757,2344,4796
Net change in cash,-379.443,-1072,1629,-40.531,673.55
Cash at beginning of period,1466,2841,1212,1253,578.965
Cash at end of period,1087,1769,2841,1212,1253
Capital Expenditure,-80.371,-52.266,-48.47,-120.922,-29.128
Free Cash Flow,-1202,-1933,-2128,-2384,-4123
