Breakdown,ttm,9/30/2019
Total Revenue,14657,14657
Selling General and Administrative,1030,1030
Total Operating Expenses,1421,1421
Interest Expense,4280,4280
Income Before Tax,13236,13236
Income Tax Expense,0,0
Income from Continuing Operations,13236,13236
Net Income,13236,13236
Net Income available to common shareholders,13236,13236
