Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-210504000,-109433000,-247231000,-31664000
Depreciation & amortization,-,45899000,91239000,90248000
Change in working capital,-,-11751000,-9243000,31130000
Inventory,-,-13532000,42550000,11236000
Other working capital,-,-6142000,-754000,112004000
Other non-cash items,-,2203000,142596000,332000
Net cash provided by operating activites,-,-6142000,-754000,112004000
Acquisitions net,-,-4931000,-1289000,-
Purchases of investments,-,-8413000,-6500000,-19750000
Other investing activites,-,-24520000,-45372000,-124123000
Net cash used for investing activites,-,-37864000,-53161000,-142592000
Net change in cash,-,-11877000,-1381000,27170000
Cash at beginning of period,-,80866000,82247000,55077000
Cash at end of period,-,68988000,80866000,82247000
Operating Cash Flow,-,-6142000,-754000,112004000
Free Cash Flow,-,-6142000,-754000,112004000
