Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,385000,385000,351000,592000,414000
Depreciation & amortization,116000,116000,125000,139000,127000
Stock based compensation,42000,42000,38000,21000,17000
Change in working capital,-67000,-67000,95000,-19000,139000
Other working capital,474000,474000,508000,361000,540000
Other non-cash items,132000,132000,64000,16000,90000
Net cash provided by operating activites,653000,653000,666000,634000,752000
Investments in property plant and equipment,-179000,-179000,-158000,-273000,-212000
Acquisitions net,-304000,-304000,-39000,-47000,-14000
Purchases of investments,-9000,-9000,-33000,-30000,-13000
Sales/Maturities of investments,4000,4000,8000,95000,25000
Other investing activites,-,-,6000,-11000,-
Net cash used for investing activites,-493000,-493000,-189000,-263000,-216000
Net change in cash,-500000,-500000,563000,-75000,-920000
Cash at beginning of period,600000,600000,58000,117000,1098000
Cash at end of period,108000,108000,600000,58000,117000
Operating Cash Flow,653000,653000,666000,634000,752000
Capital Expenditure,-179000,-179000,-158000,-273000,-212000
Free Cash Flow,474000,474000,508000,361000,540000
