Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-29086,-29086,-19637,-13887,-14755
Sales/Maturities of investments,31777,31777,24504,13260,16391
Other investing activites,-1997,-1997,-543,-,-
Net cash used for investing activites,694,694,4324,-627,1636
Dividends Paid,-2040,-2040,-1913,-1705,-1501
Net cash used privided by (used for) financing activities,-2040,-2040,-1913,-1705,-1501
Net change in cash,47,47,3455,-1708,1097
Cash at beginning of period,3716,3716,261,1969,872
Cash at end of period,3763,3763,3716,261,1969
Free Cash Flow,1393,1393,1044,624,962
