Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6533000,4691000,-708000,18674000
Depreciation & amortization,-,27964000,26634000,24414000
Change in working capital,-,7442000,-15365000,-33415000
Inventory,-,2366000,-12977000,-19968000
Other working capital,-,5417000,11987000,-11854000
Other non-cash items,-,961000,4203000,1951000
Net cash provided by operating activites,-,40696000,52436000,24218000
Investments in property plant and equipment,-,-35279000,-40449000,-36072000
Purchases of investments,-,-1339000,-469000,-594000
Sales/Maturities of investments,-,-,302000,709000
Other investing activites,-,-8485000,78000,-2760000
Net cash used for investing activites,-,-44843000,-40376000,-38300000
Net change in cash,-,-1840000,8072000,-2696000
Cash at beginning of period,-,22377000,13952000,16649000
Cash at end of period,-,21524000,22377000,13952000
Operating Cash Flow,-,40696000,52436000,24218000
Capital Expenditure,-,-35279000,-40449000,-36072000
Free Cash Flow,-,5417000,11987000,-11854000
