Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1129,-1273,-1079,-1230,-1387
Acquisitions net,-,-,-,-1298,-
Other investing activites,415.504,409.307,479.716,368.977,285.344
Net cash used for investing activites,-663.417,-813.57,-598.672,-2159,-1102
Debt repayment,-,-56.92,-15.756,-14.99,-14.254
Common stock issued,3159,1447,-,6302,13379
Common stock repurchased,-196.233,-126.296,-,-638.857,-949.119
Net cash used privided by (used for) financing activities,2802,1264,-15.756,5649,12416
Net change in cash,3066,695.981,-2431,241.357,3533
Cash at beginning of period,2756,2396,4828,4581,1049
Cash at end of period,5822,3122,2396,4828,4581
Capital Expenditure,-1129,-1273,-1079,-1230,-1387
Free Cash Flow,-201.818,-1027,-2895,-4479,-9169
