Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,336630,336630,321494,220011,200594
Interest Expense,82561,82561,63637,26031,21004
Income Before Tax,152861,152861,132688,87935,71990
Income Tax Expense,36428,36428,31824,34726,23740
Income from Continuing Operations,116433,116433,100864,53209,48250
Net Income,116433,116433,100864,53209,48250
Net Income available to common shareholders,116433,116433,100864,53209,48250
Basic EPS,-,-,2.82,2.20,2.00
Diluted EPS,-,-,2.82,2.20,2.00
Basic Average Shares,-,-,35767,24186,24125
Diluted Average Shares,-,-,35767,24208,24149
