Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5047208,5653135,5336669,5293390
Depreciation & amortization,-,2048798,2033150,1929219
Change in working capital,-,-376063,-1680988,-246044
Inventory,-,-1362672,-480163,-121127
Other working capital,-,8374522,6150846,6620100
Other non-cash items,-,-63223,-520308,1175069
Net cash provided by operating activites,-,8374522,6150846,6620100
Purchases of investments,-,-2360573,-2291742,-4519419
Sales/Maturities of investments,-,1495496,1194787,6097505
Other investing activites,-,-2179511,-3277218,-1969747
Net cash used for investing activites,-,-3044588,-4374173,-391661
Net change in cash,-,2947814,-86294,4078659
Cash at beginning of period,-,27645553,27731847,23653188
Cash at end of period,-,30593368,27645553,27731847
Operating Cash Flow,-,8374522,6150846,6620100
Free Cash Flow,-,8374522,6150846,6620100
