Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,213731,61437,20355,20108
Depreciation & amortization,-,161498,156069,139041
Change in working capital,-,-205399,-41244,-41389
Inventory,-,22614,-221806,31857
Other working capital,-156585,-219442,-303631,-208856
Other non-cash items,-,22449,118510,90662
Net cash provided by operating activites,131577,68720,141905,32853
Investments in property plant and equipment,-,-288162,-445536,-241709
Acquisitions net,-,-,0,4668
Purchases of investments,-,0,-147495,-300
Sales/Maturities of investments,-,141669,-,-
Other investing activites,-,128964,-,-28507
Net cash used for investing activites,-24238,313612,-239276,-14856
Net change in cash,-67028,411174,-13641,83521
Cash at beginning of period,1271382,1059224,1058541,977879
Cash at end of period,1204354,1448715,1059224,1058541
Operating Cash Flow,131577,68720,141905,32853
Capital Expenditure,-,-288162,-445536,-241709
Free Cash Flow,-156585,-219442,-303631,-208856
