Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,125099,125099,123307,95032,84582
Interest Expense,9131,9131,7174,3342,2874
Income Before Tax,57827,57827,52686,36323,36883
Income Tax Expense,13503,13503,12054,16477,13273
Income from Continuing Operations,44324,44324,40632,19846,23610
Net Income,44324,44324,40632,19846,23610
Net Income available to common shareholders,44324,44324,40632,19846,23610
Basic EPS,-,-,2.18,1.10,1.33
Diluted EPS,-,-,2.14,1.08,1.30
Basic Average Shares,-,-,18679,18020,17733
Diluted Average Shares,-,-,18983,18448,18215
