Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,150354000,154427000,148240000,156260000
Selling General and Administrative,77511000,75645000,76564000,79825000
Total Operating Expenses,114187000,116900000,114287000,124461000
Interest Expense,10975000,7760000,7367000,7482000
Income Before Tax,31917000,33366000,29216000,20980000
Income Tax Expense,10406000,10701000,9407000,5919000
Income from Continuing Operations,21511000,22665000,19809000,15061000
Net Income,21285000,22202000,19395000,14602000
Net Income available to common shareholders,21285000,22202000,19395000,14602000
Basic EPS,-,49.12,42.67,32.12
Diluted EPS,-,49.12,42.67,32.12
Basic Average Shares,-,451921,454514,454515
Diluted Average Shares,-,451921,454514,454515
