Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-43211,-30765,-47536,-443,-1506
Other investing activites,-559,-1649,37,131,1228
Net cash used for investing activites,-43770,-32414,-47499,-311,-277
Debt repayment,-37024,-64498,-9086,-,-
Common stock issued,24391,56000,7691,529,125
Other financing activites,-,-1058,-77,-,-
Net cash used privided by (used for) financing activities,43086,34554,50104,1255,599
Net change in cash,-3010,629,407,7,-614
Cash at beginning of period,7066,403,1,24,637
Cash at end of period,4056,1039,403,1,24
Free Cash Flow,-2326,-1511,-2198,-937,-936
