Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,1513300,1698300,3235900,3263200
Depreciation & amortization,-,81000,82700,80900
Change in working capital,-2276200,-2739600,-4985800,-644100
Inventory,-,-100,100,-
Other working capital,453200,-246400,-2987200,922600
Other non-cash items,-,449000,376300,449700
Net cash provided by operating activites,555300,-170200,-2931500,976200
Investments in property plant and equipment,-102100,-76200,-55700,-53600
Acquisitions net,-167600,-89300,-207600,-796000
Purchases of investments,-795000,-1428500,-1002300,-367400
Sales/Maturities of investments,1076300,1149100,809700,98000
Other investing activites,-,-,-37200,-126400
Net cash used for investing activites,392100,-143900,-435900,-898000
Net change in cash,1983100,2432800,-3107000,-489100
Cash at beginning of period,3859700,3330300,6296100,6926000
Cash at end of period,5842800,5629100,3330300,6296100
Operating Cash Flow,555300,-170200,-2931500,976200
Capital Expenditure,-102100,-76200,-55700,-53600
Free Cash Flow,453200,-246400,-2987200,922600
