Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-303.307,-399.304,-642.465,-541.239,-428.666
Sales/Maturities of investments,-,-,-,-,0.536
Net cash used for investing activites,-303.307,-399.304,-642.465,-541.239,-428.13
Common stock issued,-,-,775.1,571.16,-
Common stock repurchased,-,-,-3.543,-,-
Net cash used privided by (used for) financing activities,-,-,771.557,571.16,-
Net change in cash,-281.67,-701.133,-223.442,-225.018,-681.383
Cash at beginning of period,822.285,1203,1426,1651,2333
Cash at end of period,540.615,501.803,1203,1426,1651
Capital Expenditure,-303.307,-399.304,-642.465,-541.239,-428.666
Free Cash Flow,-663.866,-701.133,-994.999,-796.178,-681.919
