Breakdown,ttm,12/31/2019,12/31/2018,9/30/2017,9/30/2016
Total Revenue,204007,204007,185722,156952,143942
Interest Expense,88712,88712,62256,44446,43962
Income Before Tax,71082,71082,33659,47080,49756
Income Tax Expense,16365,16365,10923,16008,16803
Income from Continuing Operations,54717,54717,22736,31072,32953
Net Income,54717,54717,22736,31072,32953
Net Income available to common shareholders,54717,54717,22736,31072,32953
Basic EPS,-,-,0.20,0.27,0.28
Diluted EPS,-,-,0.20,0.27,0.28
Basic Average Shares,-,-,111396,115889,115889
Diluted Average Shares,-,-,111396,115889,115889
