Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-2916,-4421,-638.014
Net cash used for investing activites,-2916,-4421,-638.014
Debt repayment,-,-2500,-
Common stock issued,6413,6072,13224
Common stock repurchased,-397.979,-404.024,-1313
Other financing activites,-1307,-869.198,-
Net cash used privided by (used for) financing activities,7631,7722,11911
Net change in cash,713.963,-2976,4375
Cash at beginning of period,2709,5167,520.522
Cash at end of period,3423,2376,5167
Capital Expenditure,-2916,-4421,-638.014
Free Cash Flow,-6917,-10698,-7536
