Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,62915,42557,86700,65422,36163
Income Before Tax,13731,-2829,42910,24134,2089
Income Tax Expense,6200,-818.926,13577,6202,-472.441
Income from Continuing Operations,7531,-2010,29333,17931,2561
Net Income,10582,-107.685,31264,19371,3560
Net Income available to common shareholders,10582,-107.685,31264,19371,3560
Basic EPS,-,-0.00,0.20,0.12,0.02
Diluted EPS,-,-0.00,0.19,0.12,0.02
Basic Average Shares,-,153836,156989,157437,159131
Diluted Average Shares,-,153836,160988,161024,159131
