Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Purchases of investments,-,-,-,-30.592,-
Net cash used for investing activites,-,-,-,-30.592,-
Debt repayment,-,-,-,-8.13,-26.202
Common stock issued,-,-,476.824,720,3600
Common stock repurchased,-,-,-,-,-393.242
Net cash used privided by (used for) financing activities,300,300,476.824,711.87,3206
Net change in cash,-513.103,-513.103,-39.277,-697.793,447.992
Cash at beginning of period,601.549,601.549,635.623,1335,901.639
Cash at end of period,88.829,88.829,601.549,635.623,1335
Free Cash Flow,-813.103,-813.103,-516.101,-1379,-2758
