Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,45239,87584,21054,80428
Depreciation & amortization,-,36573,47830,42646
Change in working capital,-,-2801,-6409,25047
Inventory,-,-14557,-13633,-4837
Other working capital,-,197117,-40060,124447
Other non-cash items,-,-1517,32734,30513
Net cash provided by operating activites,-,211428,-1687,172727
Investments in property plant and equipment,-,-14311,-38373,-48280
Acquisitions net,-,-,-10341,-
Purchases of investments,-,-122787,-43658,-6661
Sales/Maturities of investments,-,181900,3660,42794
Other investing activites,-,-9577,-15517,-13693
Net cash used for investing activites,-,-35259,-72447,-25840
Net change in cash,-,176396,-8950,30953
Cash at beginning of period,-,779638,788589,757635
Cash at end of period,-,956035,779638,788589
Operating Cash Flow,-,211428,-1687,172727
Capital Expenditure,-,-14311,-38373,-48280
Free Cash Flow,-,197117,-40060,124447
