Breakdown,ttm,12/31/2019,12/31/2017
Investments in property plant and equipment,-3431,-3431,-6457
Sales/Maturities of investments,130,130,-
Net cash used for investing activites,-3301,-3301,-6431
Debt repayment,-,-,-2092
Common stock issued,3370,3370,13945
Common stock repurchased,-311,-311,-869
Other financing activites,-33,-33,-
Net cash used privided by (used for) financing activities,3026,3026,10984
Net change in cash,-4379,-4379,1182
Cash at beginning of period,5225,5225,8277
Cash at end of period,1209,1209,9065
Capital Expenditure,-3431,-3431,-6457
Free Cash Flow,-7535,-7535,-9828
