Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-668729,140583,182488,303238
Depreciation & amortization,-,34570,30444,17161
Stock based compensation,-,3184,-,0
Change in working capital,-,-342001,-601832,-563283
Inventory,-,-12,36,-193
Other working capital,-686588,-653144,-811221,-768613
Other non-cash items,-,8322,66603,28228
Net cash provided by operating activites,-683276,-640190,-790619,-725600
Investments in property plant and equipment,-3312,-12954,-20602,-43013
Acquisitions net,-157843,-316815,-231549,-92959
Purchases of investments,-,-786,-114226,-549922
Sales/Maturities of investments,-,0,6545,0
Other investing activites,8242,-2219,-298794,373939
Net cash used for investing activites,613823,364380,-166064,181639
Net change in cash,-69563,-66111,-1146864,1122137
Cash at beginning of period,934808,608334,1728748,615357
Cash at end of period,865245,526187,608334,1728748
Operating Cash Flow,-683276,-640190,-790619,-725600
Capital Expenditure,-3312,-12954,-20602,-43013
Free Cash Flow,-686588,-653144,-811221,-768613
