Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,20631000,20631000,22152000,21506000,20954000
Interest Expense,16315000,16315000,16066000,15716000,16674000
Income Before Tax,9749000,9749000,11731000,11515000,10644000
Income Tax Expense,2959000,2959000,3632000,3518000,3184000
Income from Continuing Operations,6790000,6790000,8099000,7997000,7460000
Net Income,6784000,6784000,8095000,7990000,7445000
Net Income available to common shareholders,6778000,6778000,8090000,7984000,7445000
Basic EPS,-,-,2.38,2.38,2.25
Diluted EPS,-,-,2.30,2.29,2.18
Basic Average Shares,-,-,3406000,3355000,3313000
Diluted Average Shares,-,-,3641000,3595000,3520000
