Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,622372,615490,634593,271397
Depreciation & amortization,-,936600,773053,719609
Change in working capital,-,443429,-44366,-61837
Inventory,-,-87693,15194,-52174
Other working capital,-,669485,-540425,-145687
Other non-cash items,-,267857,169857,271375
Net cash provided by operating activites,-,2207467,1411975,914860
Investments in property plant and equipment,-,-1537982,-1952400,-1060547
Acquisitions net,-,-52513,-22922,-151416
Purchases of investments,-,-61120,-51962,-20992
Sales/Maturities of investments,-,507745,-,10871
Other investing activites,-,-172718,-151732,-251819
Net cash used for investing activites,-,-1180978,-1583115,-977349
Net change in cash,-,767773,-49950,746941
Cash at beginning of period,-,3555734,3637058,2890116
Cash at end of period,-,4323507,3555734,3637058
Operating Cash Flow,-,2207467,1411975,914860
Capital Expenditure,-,-1537982,-1952400,-1060547
Free Cash Flow,-,669485,-540425,-145687
