Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-280342,-173078,227524,-339737
Depreciation & amortization,-,265649,260529,257426
Change in working capital,-,-187845,-158996,161517
Inventory,-,-270394,-175001,176107
Other working capital,-,-177317,65226,-329256
Other non-cash items,-,81686,33640,141185
Net cash provided by operating activites,-,-107052,382578,151183
Investments in property plant and equipment,-,-70265,-317352,-480439
Purchases of investments,-,-169006,-3549,-3545
Sales/Maturities of investments,-,234040,-,-
Other investing activites,-,-923,-102521,-141513
Net cash used for investing activites,-,-6154,-423422,-625497
Net change in cash,-,-256305,-115262,-267173
Cash at beginning of period,-,664234,779496,1046670
Cash at end of period,-,407929,664234,779496
Operating Cash Flow,-,-107052,382578,151183
Capital Expenditure,-,-70265,-317352,-480439
Free Cash Flow,-,-177317,65226,-329256
