Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-22375,-8403,-9047,-1950,-4232
Acquisitions net,-,-,-,11134,-
Net cash used for investing activites,-21122,-8308,-6476,9449,-1834
Debt repayment,-42857,-15260,-5550,-3848,-52441
Common stock issued,-,15090,-,-,-
Common stock repurchased,-,-,-,-,-4141
Dividends Paid,-,-,-,-7636,-9715
Net cash used privided by (used for) financing activities,29910,11281,12857,3342,-26297
Net change in cash,-25416,-16250,296,291,3892
Cash at beginning of period,43547,54418,54340,54103,49529
Cash at end of period,18131,38701,54418,54340,54103
Capital Expenditure,-22375,-8403,-9047,-1950,-4232
Free Cash Flow,-56579,-27626,-15132,-14450,27791
