Breakdown,ttm,3/31/2019,3/31/2018
Net Income,154127,154127,-35852
Depreciation & amortization,39160,39160,22877
Change in working capital,-52079,-52079,-14406
Other working capital,271748,271748,-44744
Other non-cash items,415,415,328
Net cash provided by operating activites,281214,281214,-43322
Investments in property plant and equipment,-9466,-9466,-1422
Acquisitions net,-10000,-10000,0
Other investing activites,-1688,-1688,-9749
Net cash used for investing activites,-21154,-21154,-8801
Net change in cash,241503,241503,-70747
Cash at beginning of period,264385,264385,297157
Cash at end of period,505889,505889,264385
Operating Cash Flow,281214,281214,-43322
Capital Expenditure,-9466,-9466,-1422
Free Cash Flow,271748,271748,-44744
