Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1635701,2283266,1508263,408414
Depreciation & amortization,-,513708,520129,473928
Change in working capital,-,-2121235,1900517,-699362
Inventory,-,-441684,-737413,1446496
Other working capital,-,204629,3975552,-218224
Other non-cash items,-,18712,17922,-163316
Net cash provided by operating activites,-,850752,4121444,592441
Investments in property plant and equipment,-,-646123,-145892,-810665
Purchases of investments,-,-1681,-6542,-1603
Sales/Maturities of investments,-,200000,38000,25887
Other investing activites,-,-17219,4295,104959
Net cash used for investing activites,-,-465023,-99039,-681422
Net change in cash,-,-756808,3784786,-344480
Cash at beginning of period,-,11194123,7409336,7753816
Cash at end of period,-,10437315,11194123,7409336
Operating Cash Flow,-,850752,4121444,592441
Capital Expenditure,-,-646123,-145892,-810665
Free Cash Flow,-,204629,3975552,-218224
